id,name,repo,url,sha,family,smoke_unit,smoke_units,smoke_jev_call_cap,smoke_llm_call_cap,question,smoke,deep,baseline,gate,dependencies,status,evidence_level
S01,Jev CLI,Nasrallah-AL/jev-cli,https://github.com/Nasrallah-AL/jev-cli,02ca80177aaef0b30a897959207f99df1e0c8446,Decisões,cenários,12,12,0,"O CLI preserva a decisão, os erros e a cobrança da API sem criar retrabalho?","12 cenários: classificação, rota, verificação, lote, JSON inválido, opções ambíguas, entrada vazia, Unicode, limite de tamanho, timeout, 429 e cache. Contratos/erros primeiro com transporte simulado; até 12 chamadas reais separadas.","840 casos do corpus central, em três tarefas; comparar saída normalizada com resposta original. Conferir todos os erros de transporte e integridade do registro. Reusar respostas para outras ferramentas apenas quando o payload for idêntico.",HTTP mínimo com o mesmo payload; regras locais para a qualidade semântica.,Nenhuma decisão silenciosamente perdida; custo ausente fica desconhecido. Acurácia deve coincidir com a resposta original; diferença é falha do cliente.,Node >=20.12; OPENROUTER_API_KEY; rota Decisions. Inspecionar configuração e usar provedor explícito.,Planejado — não executado,Inspeção de código; ensaio do sistema pendente
S02,Jev Search,superagents-lab/jev-search,https://github.com/superagents-lab/jev-search,f7e2d4b9f342b882726e49dd668fdc8336571eef,Busca,consultas,8,16,0,Reordenar resultados melhora a recuperação de evidência útil por consulta?,"8 consultas com 10 resultados congelados cada: resposta, ressalva, sem resposta, duplicatas, data antiga, fonte oficial, homônimo e instrução maliciosa. Testar ranking e deduplicação com busca simulada; até dois formatos por consulta.","60 consultas x 10 candidatos, 20 dev e 40 teste; até dois formatos de ranking. Reaproveitar o banco do Rerank Bench. Depois 12 consultas com busca real, se Search1API estiver disponível e couber na verba.","Ordem original, BM25 e deduplicação determinística com os mesmos candidatos.","Candidato a adoção se nDCG@5 melhora pelo menos 0,05, intervalo pareado favorece ganho e recall de ressalvas não cai mais de 2 pp. Sem evidência suficiente: continuar consultivo.","Node >=22.12, pnpm; TypeSafe direto e Search1API no aplicativo original. Teste com fontes congeladas não comprova a busca externa.",Planejado — não executado,Inspeção de código; ensaio do sistema pendente
S03,Janus,FirasSX914/Janus,https://github.com/FirasSX914/Janus,9cb66c488cf884e5997356a0de45f75aa3148774,Calibração,registros pareados,12,0,0,Uma cascata reduz custo mantendo a qualidade medida em gabarito externo?,"12 registros conhecidos de primário e fallback, incluindo erro com confiança alta, discordância, ausência de custo e grupo raro; executar escolha de limiar e conferir à mão. Sem novas inferências.","240 pares Jev/LLM do corpus central, 80 por tarefa: 20 dev, 20 calibração e 40 teste. Limiar escolhido antes do teste. Reusar exatamente os mesmos pares no jevcal.","Sempre Jev, sempre LLM econômico, regra fixa e encaminhar tudo à revisão humana como limite de cobertura.",Economia líquida >=25% e limite inferior da diferença de acurácia acima de -5 pp no teste; amostra insuficiente produz conclusão inconclusiva. Medir erros graves separadamente.,"Python/NumPy; obter previsões do fallback, sem tratá-lo como gabarito. A função de medição original precisa de avaliação externa independente.",Planejado — não executado,Inspeção de código; ensaio do sistema pendente
S04,pi-warden,DevMortimer/pi-warden,https://github.com/DevMortimer/pi-warden,84a3bc9aa6c2807b608df42bc77a951d9531d70b,Agentes,eventos,12,12,0,O alerta semântico detecta erros úteis além das regras e sem alarmes excessivos?,"12 eventos: seis problemas e seis ações legítimas, com tarefas concluídas/incompletas e loops. Executar extensão em contexto Pi simulado e verificar aviso, bloqueio e continuação como resultados distintos.","120 eventos de 40 episódios, estratificados por conclusão falsa, repetição e comportamento normal; 40 dev e 80 teste agrupados por episódio. A/B adicional em 24 tarefas com estado reiniciado.","Regras/padrões do próprio projeto, sem Jev; agente sem extensão.","Precisão de alertas >=90%, ganho de recall >=10 pp sobre regras e aumento de interrupções indevidas <=5 pp, todos exploratórios até intervalos aceitáveis. Tempo por tarefa também precisa melhorar.",Pi e Node; TypeSafe direto no código. Aviso emitido não conta como dano evitado.,Planejado — não executado,Inspeção de código; ensaio do sistema pendente
S05,Jev Ultrafast,browser-use/jev-ultrafast,https://github.com/browser-use/jev-ultrafast,1231850a0bf1a0c0341fe408ef1668dbbfdfac46,Agentes,tarefas web,6,48,6,As decisões rápidas levam à conclusão correta da tarefa no navegador?,"6 tarefas em site local controlado, no máximo 8 decisões por tarefa e um auxílio de texto: selecionar, navegar, formulário, paginação, alvo ambíguo e caminho sem solução. Verificador de estado independente do modelo.","24 tarefas novas (8 dev e 16 teste), reiniciadas em cada braço. Limite 8 passos, uma chamada auxiliar por tarefa; medir conclusão, ações indevidas e tempo total. Falha por limite continua no denominador.",Playwright determinístico nas tarefas roteirizáveis; agente sem Jev se disponível dentro da cota de comparadores.,"Candidato se >=90% de sucesso no conjunto, sem ação indevida grave e tempo mediano pelo menos 20% menor que o braço comparável. Com 16 tarefas finais não declarar confiabilidade geral.","Python/uv, Chrome; TypeSafe nas ações; OpenRouter no auxílio textual. Fluxos com iframe, canvas e uploads são estratos de limitações explícitas.",Planejado — não executado,Inspeção de código; ensaio do sistema pendente
S06,jevcal,abhixhek/jevcal,https://github.com/abhixhek/jevcal,ae8f3144d69c9cb0e5e0a2c17f70b9d14714cb9f,Calibração,registros pareados,24,0,0,"O compilador escolhe uma política que generaliza, ou apenas ajusta o conjunto observado?","24 registros sintéticos para custo, cobertura, erro e suporte; incluir grupo sem holdout e desempenho abaixo da meta. Conferir a saída e identificar aprovação por folga do algoritmo.","Mesmos 240 pares do Janus. Ajuste em dev/calibração, avaliação única em teste externo. Política por tarefa só quando suporte permite; comparar corte global.",Limiar global fixado na calibração; curvas risco-cobertura do Janus.,"Nenhuma aprovação com suporte ausente. Usar nossa regra de intervalo, não apenas status ok ou folga de 2 pp. Preferir ferramenta mais simples quando decisões forem equivalentes.","Python >=3.10, PyYAML; demo offline. Provedor OpenRouter de LLM não é o transporte Jev Decisions.",Planejado — não executado,Inspeção de código; ensaio do sistema pendente
S07,Jev Rerank Bench,anessbelbati/jev-rerank-bench,https://github.com/anessbelbati/jev-rerank-bench,cd9a35b22aeb4187334f7018a0ee1960a7470586,Busca,consultas,8,16,0,Qual formato de decisão melhora ranking em português com custo menor?,8 consultas x 10 candidatos compartilhadas com Search; conferir métrica com ranking conhecido e reproduzir um resultado existente sem rede. Até dois formatos Jev por consulta.,"60 consultas compartilhadas, 600 rótulos de relevância e utilidade. Fixar 10 candidatos, comprimento e ordem. Comparar dois formatos selecionados no dev, reportando recall, nDCG@5 e estabilidade.","BM25, ranking original e uma ordenação aleatória como controle de implementação.","Escolha por qualidade/custo por consulta, não por resultado médio de tarefas incompatíveis; ganho >=0,05 em nDCG@5 e intervalo pareado de consultas favorável.",Python e dados/cache publicados. Reproduzir saída armazenada não é repetir inferência; texto truncado deve ser registrado.,Planejado — não executado,Inspeção de código; ensaio do sistema pendente
S08,System One Adapter,typesafe-ai/system-one-adapter-python,https://github.com/typesafe-ai/system-one-adapter-python,adffc2eab300a4fa3c0e92252d4ffd6ceaa53700,Decisões,casos,12,0,12,Quanto custa obter decisões estruturadas de um modelo generalista comparável?,"12 casos cobrindo Choice, Noul e Score com esquema conhecido; validar JSON, número de tentativas e custo bruto de cada tentativa. Proibir correção silenciosa por novo modelo.","240 pares do corpus central, 80 por tarefa, usando Gemini 2.5 Flash-Lite como comparador econômico se continuar disponível ao preço fixado. Prompts próprios adequados ao modelo, congelados com o mesmo esforço de ajuste.",Jev nativo e regras locais. O comparador econômico não representa o melhor modelo generalista possível.,"100% de respostas conformes após política declarada; incluir respostas inválidas como falhas. Ganho de acurácia, latência e custo avaliados em conjunto.",Python; OpenAI-compatible provider/base_url e OpenRouter chat. Verificar suporte do adaptador ao modelo e registrar retries.,Planejado — não executado,Inspeção de código; ensaio do sistema pendente
S09,Jev Review,devagrawal09/jev-review,https://github.com/devagrawal09/jev-review,31f89602797fb7bea007f8a480bf368bf564954e,Código,diffs,8,8,0,A revisão identifica defeitos verificáveis sem acusar mudanças corretas?,8 diffs pequenos: quatro com defeitos que um teste independente demonstra e quatro corretos; verificar associação entre alerta e trecho.,"80 diffs (20 dev, 20 calibração, 40 teste), metade com defeitos, diversidade de linguagem e tipo de bug. Medir precisão/recall por defeito e minutos de triagem.",Testes e analisadores estáticos pertinentes; revisão sem Jev. Não presumir substituição de análise estática.,Precisão >=80% e contribuição adicional comprovada em defeitos que a baseline não pega; alarme genérico sem localização e explicação verificável não conta como acerto.,"Node24, TypeSafe SDK; repositório descartável sem conteúdo privado; testes do defeito separados do modelo.",Planejado — não executado,Inspeção de código; ensaio do sistema pendente
S10,Every,sufianetaouil/every,https://github.com/sufianetaouil/every,aaa72d582a831420dfd23a788e3bc948c798c248,Código,funções,12,2,0,Busca semântica por função encontra padrões que texto/AST deixam passar?,"12 funções rotuladas, com sinônimos, wrappers, comentários enganosos e negativas; duas chamadas de seis decisões. Testar cache com alteração de código, rubrica e versão.","80 funções (20 dev, 20 calibração, 40 teste), quatro perguntas semanticamente distintas. Até uma chamada por função com quatro questões. Separar resultados por pergunta.","rg, busca textual e regra AST definida antes de olhar as respostas.",Precisão >=90% e recall >=10 pp acima da melhor baseline simples em ao menos uma tarefa útil; cache deve invalidar em toda mudança semântica.,"Python/tree-sitter, TypeSafe direto. Corrigir ou isolar chave de cache sem versão de modelo antes de medir.",Planejado — não executado,Inspeção de código; ensaio do sistema pendente
