phase,mode,call_id,case_id,app,split,expected,predicted,correct,confidence_pdf,source_page,provenance
fase2,solo,1,fase2:triage-00,triage,development,comunicacao,comunicacao,1,1.0,43,pdf_table_transcription_not_raw_ledger
fase2,solo,2,fase2:triage-01,triage,development,juridico,juridico,1,1.0,43,pdf_table_transcription_not_raw_ledger
fase2,solo,3,fase2:triage-02,triage,development,organizacao,organizacao,1,0.99,43,pdf_table_transcription_not_raw_ledger
fase2,solo,4,fase2:triage-03,triage,development,financeiro,financeiro,1,1.0,43,pdf_table_transcription_not_raw_ledger
fase2,solo,5,fase2:triage-04,triage,development,engenharia,engenharia,1,1.0,43,pdf_table_transcription_not_raw_ledger
fase2,solo,6,fase2:triage-05,triage,development,pesquisa,pesquisa,1,1.0,43,pdf_table_transcription_not_raw_ledger
fase2,solo,7,fase2:triage-06,triage,development,outro,outro,1,0.97,43,pdf_table_transcription_not_raw_ledger
fase2,solo,8,fase2:triage-07,triage,development,outro,outro,1,0.64,43,pdf_table_transcription_not_raw_ledger
fase2,solo,9,fase2:triage-08,triage,holdout,engenharia,engenharia,1,0.99,43,pdf_table_transcription_not_raw_ledger
fase2,solo,10,fase2:triage-09,triage,holdout,comunicacao,comunicacao,1,0.69,43,pdf_table_transcription_not_raw_ledger
fase2,solo,11,fase2:triage-10,triage,holdout,organizacao,organizacao,1,1.0,43,pdf_table_transcription_not_raw_ledger
fase2,solo,12,fase2:triage-11,triage,holdout,juridico,juridico,1,1.0,43,pdf_table_transcription_not_raw_ledger
fase2,solo,13,fase2:triage-12,triage,holdout,financeiro,financeiro,1,1.0,43,pdf_table_transcription_not_raw_ledger
fase2,solo,14,fase2:triage-13,triage,holdout,pesquisa,pesquisa,1,1.0,43,pdf_table_transcription_not_raw_ledger
fase2,solo,15,fase2:triage-14,triage,holdout,outro,outro,1,0.8,43,pdf_table_transcription_not_raw_ledger
fase2,solo,16,fase2:triage-15,triage,holdout,engenharia,engenharia,1,1.0,43,pdf_table_transcription_not_raw_ledger
fase2,solo,17,fase2:evidence-00,evidence,development,irrelevant,irrelevant,1,1.0,43,pdf_table_transcription_not_raw_ledger
fase2,solo,18,fase2:evidence-01,evidence,development,relevant,relevant,1,1.0,43,pdf_table_transcription_not_raw_ledger
fase2,solo,19,fase2:evidence-02,evidence,development,relevant,relevant,1,0.99,43,pdf_table_transcription_not_raw_ledger
fase2,solo,20,fase2:evidence-03,evidence,development,irrelevant,relevant,0,0.75,43,pdf_table_transcription_not_raw_ledger
fase2,solo,21,fase2:evidence-04,evidence,development,relevant,relevant,1,0.83,43,pdf_table_transcription_not_raw_ledger
fase2,solo,22,fase2:evidence-05,evidence,development,irrelevant,irrelevant,1,1.0,44,pdf_table_transcription_not_raw_ledger
fase2,solo,23,fase2:evidence-06,evidence,development,irrelevant,irrelevant,1,0.99,44,pdf_table_transcription_not_raw_ledger
fase2,solo,24,fase2:evidence-07,evidence,development,irrelevant,relevant,0,0.76,44,pdf_table_transcription_not_raw_ledger
fase2,solo,25,fase2:evidence-08,evidence,holdout,relevant,relevant,1,1.0,44,pdf_table_transcription_not_raw_ledger
fase2,solo,26,fase2:evidence-09,evidence,holdout,relevant,relevant,1,0.87,44,pdf_table_transcription_not_raw_ledger
fase2,solo,27,fase2:evidence-10,evidence,holdout,irrelevant,irrelevant,1,1.0,44,pdf_table_transcription_not_raw_ledger
fase2,solo,28,fase2:evidence-11,evidence,holdout,relevant,relevant,1,1.0,44,pdf_table_transcription_not_raw_ledger
fase2,solo,29,fase2:evidence-12,evidence,holdout,relevant,relevant,1,0.25,44,pdf_table_transcription_not_raw_ledger
fase2,solo,30,fase2:evidence-13,evidence,holdout,irrelevant,irrelevant,1,0.72,44,pdf_table_transcription_not_raw_ledger
fase2,solo,31,fase2:evidence-14,evidence,holdout,relevant,relevant,1,1.0,44,pdf_table_transcription_not_raw_ledger
fase2,solo,32,fase2:evidence-15,evidence,holdout,irrelevant,irrelevant,1,0.84,44,pdf_table_transcription_not_raw_ledger
fase2,solo,33,fase2:claim-00,claim,development,contradicted,contradicted,1,0.99,44,pdf_table_transcription_not_raw_ledger
fase2,solo,34,fase2:claim-01,claim,development,insufficient,insufficient,1,0.43,44,pdf_table_transcription_not_raw_ledger
fase2,solo,35,fase2:claim-02,claim,development,insufficient,insufficient,1,1.0,44,pdf_table_transcription_not_raw_ledger
fase2,solo,36,fase2:claim-03,claim,development,supported,supported,1,0.96,44,pdf_table_transcription_not_raw_ledger
fase2,solo,37,fase2:claim-04,claim,development,contradicted,contradicted,1,0.95,44,pdf_table_transcription_not_raw_ledger
fase2,solo,38,fase2:claim-05,claim,development,supported,supported,1,0.98,44,pdf_table_transcription_not_raw_ledger
fase2,solo,39,fase2:claim-06,claim,development,insufficient,insufficient,1,0.88,44,pdf_table_transcription_not_raw_ledger
fase2,solo,40,fase2:claim-07,claim,development,contradicted,contradicted,1,0.76,44,pdf_table_transcription_not_raw_ledger
fase2,solo,41,fase2:claim-08,claim,holdout,insufficient,contradicted,0,0.78,44,pdf_table_transcription_not_raw_ledger
fase2,solo,42,fase2:claim-09,claim,holdout,contradicted,contradicted,1,1.0,44,pdf_table_transcription_not_raw_ledger
fase2,solo,43,fase2:claim-10,claim,holdout,supported,supported,1,0.96,44,pdf_table_transcription_not_raw_ledger
fase2,solo,44,fase2:claim-11,claim,holdout,insufficient,insufficient,1,0.99,44,pdf_table_transcription_not_raw_ledger
fase2,solo,45,fase2:claim-12,claim,holdout,supported,supported,1,0.96,44,pdf_table_transcription_not_raw_ledger
fase2,solo,46,fase2:claim-13,claim,holdout,insufficient,insufficient,1,0.98,44,pdf_table_transcription_not_raw_ledger
fase2,solo,47,fase2:claim-14,claim,holdout,contradicted,contradicted,1,0.98,44,pdf_table_transcription_not_raw_ledger
fase2,solo,48,fase2:claim-15,claim,holdout,supported,supported,1,0.99,44,pdf_table_transcription_not_raw_ledger
fase2,batch,49,fase2:triage-07,triage,development,outro,outro,1,0.64,44,pdf_table_transcription_not_raw_ledger
fase2,batch,49,fase2:triage-06,triage,development,outro,outro,1,0.99,44,pdf_table_transcription_not_raw_ledger
fase2,batch,49,fase2:triage-05,triage,development,pesquisa,pesquisa,1,1.0,44,pdf_table_transcription_not_raw_ledger
fase2,batch,49,fase2:triage-04,triage,development,engenharia,engenharia,1,1.0,45,pdf_table_transcription_not_raw_ledger
fase2,batch,49,fase2:triage-03,triage,development,financeiro,financeiro,1,1.0,45,pdf_table_transcription_not_raw_ledger
fase2,batch,49,fase2:triage-02,triage,development,organizacao,organizacao,1,1.0,45,pdf_table_transcription_not_raw_ledger
fase2,batch,49,fase2:triage-01,triage,development,juridico,juridico,1,1.0,45,pdf_table_transcription_not_raw_ledger
fase2,batch,49,fase2:triage-00,triage,development,comunicacao,comunicacao,1,1.0,45,pdf_table_transcription_not_raw_ledger
fase2,batch,50,fase2:triage-15,triage,holdout,engenharia,engenharia,1,1.0,45,pdf_table_transcription_not_raw_ledger
